job_id,office,position_title,date,year,skill,skill_category,source_file
MEM-100-14,Senior Democratic member of Congress,Staff Assistant,2014-01-06,2014,Casework,constituent,01-06-14_Member_and_Committee_Vacancies.json
MEM-100-14,Senior Democratic member of Congress,Staff Assistant,2014-01-06,2014,Strong Writing Skills,soft_skill,01-06-14_Member_and_Committee_Vacancies.json
MEM-378-13,Texas Democrat,Legislative Assistant,2013-12-23,2013,Healthcare Policy,policy,12-23-13_Member_and_Committee_Vacancies.json
MEM-378-13,Texas Democrat,Legislative Assistant,2013-12-23,2013,Fast-Paced Environment,soft_skill,12-23-13_Member_and_Committee_Vacancies.json
MEM-376-13,Dem member,Press secretary,2013-12-23,2013,Capitol Hill Experience,experience,12-23-13_Member_and_Committee_Vacancies.json
MEM-375-13,Congressman Aaron Schock (IL-18),Communications Director,2013-12-16,2013,Press Releases / Statements,communications,12-16-13_Member_and_Committee_Vacancies.json
MEM-375-13,Congressman Aaron Schock (IL-18),Communications Director,2013-12-16,2013,Talking Points,communications,12-16-13_Member_and_Committee_Vacancies.json
MEM-375-13,Congressman Aaron Schock (IL-18),Communications Director,2013-12-16,2013,Fast-Paced Environment,soft_skill,12-16-13_Member_and_Committee_Vacancies.json
MEM-374-13,Freshman Democratic Member,Legislative Assistant,2013-12-16,2013,Finance / Tax Policy,policy,12-16-13_Member_and_Committee_Vacancies.json
MEM-374-13,Freshman Democratic Member,Legislative Assistant,2013-12-16,2013,Housing,policy,12-16-13_Member_and_Committee_Vacancies.json
MEM-374-13,Freshman Democratic Member,Legislative Assistant,2013-12-16,2013,Floor Procedure,legislative,12-16-13_Member_and_Committee_Vacancies.json
MEM-374-13,Freshman Democratic Member,Legislative Assistant,2013-12-16,2013,Strong Writing Skills,soft_skill,12-16-13_Member_and_Committee_Vacancies.json
MEM-374-13,Freshman Democratic Member,Legislative Assistant,2013-12-16,2013,Fast-Paced Environment,soft_skill,12-16-13_Member_and_Committee_Vacancies.json
MEM-373-13,Ohio Republican House Member,Press Assistant,2013-12-16,2013,Adobe Photoshop,software,12-16-13_Member_and_Committee_Vacancies.json
MEM-373-13,Ohio Republican House Member,Press Assistant,2013-12-16,2013,Final Cut Pro,software,12-16-13_Member_and_Committee_Vacancies.json
MEM-373-13,Ohio Republican House Member,Press Assistant,2013-12-16,2013,Press Releases / Statements,communications,12-16-13_Member_and_Committee_Vacancies.json
MEM-373-13,Ohio Republican House Member,Press Assistant,2013-12-16,2013,Twitter / X,communications,12-16-13_Member_and_Committee_Vacancies.json
MEM-373-13,Ohio Republican House Member,Press Assistant,2013-12-16,2013,Instagram,communications,12-16-13_Member_and_Committee_Vacancies.json
MEM-373-13,Ohio Republican House Member,Press Assistant,2013-12-16,2013,Town Halls / Events,constituent,12-16-13_Member_and_Committee_Vacancies.json
MEM-373-13,Ohio Republican House Member,Press Assistant,2013-12-16,2013,Strong Writing Skills,soft_skill,12-16-13_Member_and_Committee_Vacancies.json
