file_name,error_message,error_line,error_column
Members_and_Committee_Bulletin_04.18.2022_v2.json,Invalid control character at: line 1 column 37690 (char 37689),1,37690
Members_and_Committee_Bulletin_7.24.2023_v2.json,Unterminated string starting at: line 1 column 24230 (char 24229),1,24230
Members_and_Committee_Bulletin_6.17.2024_v2.json,Invalid control character at: line 1 column 38606 (char 38605),1,38606
Members_and_Committee_Bulletin_05.23.2022_v2.json,Unterminated string starting at: line 1 column 10893 (char 10892),1,10893
Members_and_Committee_Bulletin_6.10.2024_v2.json,Expecting value: line 1 column 13766 (char 13765),1,13766
Members_and_Committee_Bulletin_7.31.2023_v2.json,Invalid control character at: line 1 column 37039 (char 37038),1,37039
"Members,_Committee,_Intern_Bulletin_10.21.20240-final.json",Invalid control character at: line 1 column 35862 (char 35861),1,35862
Member_and_Committee_Bulletin_11.24.2014_1.json,Invalid control character at: line 1 column 31700 (char 31699),1,31700
Members_and_Committee_Bulletin_05.31.2022_v2.json,Invalid control character at: line 1 column 38139 (char 38138),1,38139
Members_and_Committee_Bulletin_03.28.2022_v2.json,Invalid control character at: line 1 column 36405 (char 36404),1,36405
"Members,_Committee,_Intern_Bulletin_10.14.2024.json",Invalid control character at: line 1 column 36109 (char 36108),1,36109
Members_and_Committee_Bulletin_12.06.2021_v2.json,Unterminated string starting at: line 1 column 8083 (char 8082),1,8083
Members_and_Committee_Bulletin_06.10.2019-1.json,Unterminated string starting at: line 1 column 7952 (char 7951),1,7952
Members_and_Committee_Bulletin_3.25.2024_v2.json,Unterminated string starting at: line 1 column 33738 (char 33737),1,33738
Members_and_Committee_Bulletin_02.04.2019.json,Expecting property name enclosed in double quotes: line 1 column 29103 (char 29102),1,29103
Members_and_Committee_Bulletin_01.07.2019.json,Expecting value: line 2 column 1 (char 34103),2,1
Members_and_Committee_Bulletin_8.19.2024.json,Invalid control character at: line 1 column 37429 (char 37428),1,37429
Members_and_Committee_Bulletin_01.14.2019.json,Expecting value: line 2 column 1 (char 34730),2,1
Members_and_Committee_Bulletin_04.25.2022_v2.json,Invalid control character at: line 1 column 34693 (char 34692),1,34693
Members_and_Committee_Bulletin_8.28.2023_v2.json,Unterminated string starting at: line 1 column 15815 (char 15814),1,15815
Members_and_Committee_Bulletin_3.4.2024_v2.json,Unterminated string starting at: line 1 column 33451 (char 33450),1,33451
Members_and_Committee_Bulletin_4.29.2024_v2.json,Unterminated string starting at: line 1 column 36734 (char 36733),1,36734
Members_and_Committee_Bulletin_05.24.2021_v2.json,Unterminated string starting at: line 1 column 23928 (char 23927),1,23928
Members_and_Committee_Bulletin_4.17.2023_v2.json,Invalid control character at: line 1 column 36954 (char 36953),1,36954
UPDATED_HVAPS_Template_Members_2024_10_28.json,Unterminated string starting at: line 1 column 23548 (char 23547),1,23548
Members_and_Committee_Bulletin_4.10.2023_v2.json,Unterminated string starting at: line 1 column 25893 (char 25892),1,25893
Members_and_Committee_Bulletin_01.17.2023_v2.json,Invalid control character at: line 1 column 37325 (char 37324),1,37325
Members_and_Committee_Bulletin_8.7.2023_v2.json,Invalid control character at: line 1 column 36380 (char 36379),1,36380
Members_and_Committee_Bulletin_08.08.2022_v2.json,Invalid control character at: line 1 column 38282 (char 38281),1,38282
HVAPS_Template_Members_2025_1_27.json,Expecting value: line 2 column 1 (char 36970),2,1
Members_and_Committee_Bulletin_02.11.2019.json,Invalid control character at: line 1 column 35860 (char 35859),1,35860
Members_and_Committee_Bulletin_03.14.2022_v2.json,Invalid control character at: line 1 column 37040 (char 37039),1,37040
Members_and_Committee_Bulletin_08.02.2021_v2.json,Unterminated string starting at: line 1 column 22968 (char 22967),1,22968
"Members,_Committee,_Intern_Bulletin_10.07.2024.json",Invalid control character at: line 1 column 37071 (char 37070),1,37071
Members_and_Committee_Bulletin_6.12.2023_v2.json,Invalid control character at: line 1 column 38952 (char 38951),1,38952
Members_and_Committee_Bulletin_01.30.2023_v2.json,Invalid control character at: line 1 column 38391 (char 38390),1,38391
Members_and_Committee_Bulletin_7.3.2023_v2.json,"Expecting ',' delimiter: line 1 column 718 (char 717)",1,718
Members_and_Committee_Bulletin_12.26.2022_v2.json,Invalid control character at: line 1 column 35854 (char 35853),1,35854
Members_and_Committee_Bulletin_12.17.2018.json,Invalid control character at: line 1 column 37037 (char 37036),1,37037
Members_and_Committee_Bulletin_6.5.2023_v2.json,Unterminated string starting at: line 1 column 13798 (char 13797),1,13798
Members_and_Committee_Bulletin_3.13.2023_v2.json,Unterminated string starting at: line 1 column 21515 (char 21514),1,21515
Members_and_Committee_Bulletin_05.09.2022_v2.json,Unterminated string starting at: line 1 column 15288 (char 15287),1,15288
Members_and_Committee_Bulletin_01.23.2023_v2.json,Expecting property name enclosed in double quotes: line 2 column 1 (char 38490),2,1
Members_and_Committee_Bulletin_9.4.2023_v2.json,Unterminated string starting at: line 1 column 8598 (char 8597),1,8598
Members_and_Committee_Bulletin_4.24.2023_v2.json,Invalid control character at: line 1 column 35458 (char 35457),1,35458
Members_and_Committee_Bulletin_05.11.2020_v2.json,Expecting value: line 1 column 7922 (char 7921),1,7922
Members_and_Committee_Bulletin_12.24.2018.json,Invalid control character at: line 1 column 36356 (char 36355),1,36356
Members_and_Committee_Bulletin_04.11.2022_v2.json,Invalid control character at: line 1 column 37162 (char 37161),1,37162
Members_and_Committee_Bulletin_03.21.2022_v2.json,Invalid control character at: line 1 column 36470 (char 36469),1,36470
